precio,aream2,toilets,garajes,estrato
340000000,81.64,3,1,5
195000000,120.0,1,0,3
105000000,89.0,1,1,3
290000000,230.0,2,1,3
510000000,264.0,3,2,5
200000000,91.0,2,0,3
245000000,75.0,2,0,3
550000000,232.0,2,1,3
290000000,237.0,6,0,3
380000000,260.0,4,1,3
168000000,136.0,2,1,2
450000000,147.0,4,1,5
730000000,182.0,7,1,3
450000000,200.0,3,2,4
990000000,250.0,8,2,6
260000000,155.0,2,0,3
400000000,180.0,1,0,2
310000000,160.0,4,1,4
550000000,176.0,3,2,5
320000000,180.0,5,2,4
195000000,98.0,2,0,0
360000000,150.0,2,1,3
450000000,190.0,3,5,2
550000000,210.0,3,2,4
290000000,255.0,4,0,3
970000000,247.0,4,3,5
60000000,105.0,2,0,2
520000000,207.0,3,2,5
390000000,126.0,3,2,4
390000000,210.0,2,1,5
350000000,165.0,3,0,4
390000000,180.0,6,0,3
280000000,150.0,3,0,3
535000000,132.0,3,2,4
375000000,150.0,5,5,3
339000000,127.0,3,1,5
330000000,210.0,4,0,3
760000000,275.0,4,2,2
780000000,230.0,5,2,5
850000000,225.0,5,3,6
470000000,175.0,3,1,4
150000000,150.0,2,0,2
450000000,260.0,3,1,5
160000000,48.0,2,0,3
390000000,180.0,3,1,4
238000000,68.0,3,1,4
420000000,235.2,1,0,3
480000000,160.0,2,2,4
480000000,220.0,2,1,3
230000000,121.0,1,1,3
245000000,165.0,1,2,3
320000000,160.0,2,2,2
160000000,94.0,3,1,2
450000000,250.0,4,1,4
650000000,122.0,5,2,6
300000000,115.0,2,0,3
220000000,65.0,3,1,3
395000000,103.0,3,2,5
420000000,90.09,3,1,5
220000000,207.0,2,1,2
100000000,60.0,2,1,3
360000000,86.0,3,1,4
171900000,70.08,1,0,2
134500000,50.2,1,0,2
398179522,108.24,2,0,5
590000000,160.0,5,2,6
290000000,145.0,2,1,4
165000000,80.0,1,0,2
275000000,107.0,3,2,4
380000000,132.0,3,1,4
200000000,60.0,2,0,4
750000000,260.0,4,4,5
318000000,94.0,3,2,5
245000000,76.0,2,1,4
240000000,90.0,2,0,2
600000000,157.0,5,2,5
460000000,120.0,3,2,4
190000000,140.0,2,1,2
140000000,69.0,2,0,2
950000000,266.0,5,2,6
220000000,76.0,3,1,3
570000000,156.0,3,2,5
365000000,150.0,2,3,3
280000000,90.0,3,1,4
300000000,90.0,3,1,4
820000000,250.0,4,4,6
400000000,210.0,2,2,3
250000000,72.0,3,1,5
490000000,200.0,4,1,5
440000000,240.0,3,1,4
239000000,103.0,2,0,3
98000000,52.0,2,1,2
360000000,170.0,3,0,3
670000000,270.0,4,2,5
450000000,117.0,3,2,5
265000000,89.0,2,1,4
420000000,93.0,3,2,6
450000000,130.0,3,2,6
320000000,153.0,4,1,5
830000000,165.0,4,2,6
365000000,85.0,2,1,5
279000000,103.0,3,1,4
710000000,123.0,3,2,6
210000000,64.0,1,0,4
157000000,52.0,1,0,4
400000000,80.0,2,1,5
270000000,70.0,2,1,5
270000000,76.0,2,1,5
847000000,150.0,4,2,6
260000000,75.0,2,1,5
270000000,85.0,3,0,5
159000000,59.0,2,0,2
340000000,88.0,3,1,5
269000000,38.0,1,1,6
930000000,145.0,3,2,6
329900000,77.0,2,2,5
590000000,209.0,3,2,6
350000000,110.0,3,1,6
990000000,179.0,4,2,6
650000000,120.0,2,2,5
535000000,189.0,3,2,5
575000000,104.0,3,2,5
260000000,89.0,2,1,5
610000000,122.0,3,2,6
450000000,144.0,3,2,6
420000000,106.0,3,1,5
190000000,60.0,2,1,4
270000000,79.0,2,1,4
780000000,180.0,5,2,6
315000000,103.0,3,2,5
220000000,85.0,2,1,4
395000000,95.0,3,1,5
650000000,140.0,3,2,6
270000000,78.0,2,2,5
218000000,70.0,3,1,5
315000000,82.0,2,1,5
390000000,123.33,3,2,4
890000000,220.0,5,2,6
665000000,136.0,5,2,6
450000000,99.0,3,1,5
292000000,86.0,3,2,5
195000000,60.0,2,1,4
370000000,84.52,2,1,5
580000000,178.0,4,2,6
270000000,73.0,2,1,5
165000000,52.0,2,1,4
440000000,92.0,3,1,5
630000000,156.0,4,2,6
325000000,87.0,2,1,4
155000000,61.0,2,1,4
545000000,162.0,4,2,5
710000000,155.0,4,2,5
370000000,70.0,2,1,5
430000000,150.0,3,1,5
355000000,150.0,3,2,5
249000000,57.66,2,1,5
110000000,50.0,1,0,3
550000000,220.0,4,2,5
175000000,77.0,2,1,4
262000000,100.0,3,2,5
378000000,87.0,2,1,5
590000000,250.0,3,2,6
305000000,84.0,2,1,4
170000000,58.0,2,1,4
195000000,61.0,2,0,4
238000000,62.0,2,1,4
145000000,52.0,2,0,3
375000000,87.0,2,1,5
215000000,63.0,2,0,4
895000000,200.0,5,2,6
477000000,87.0,3,1,5
230000000,118.0,3,0,5
380000000,120.0,4,1,4
280000000,75.0,2,1,5
500000000,72.0,2,1,6
525000000,198.0,3,2,4
650000000,95.0,2,1,6
480000000,128.0,2,1,6
480000000,119.0,3,2,5
700000000,130.0,1,2,6
820000000,140.0,2,2,6
840000000,224.0,4,3,6
385000000,89.0,2,1,5
293000000,70.0,2,1,4
220000000,54.0,2,0,4
290000000,68.0,2,1,4
870000000,246.0,3,0,6
340000000,86.0,2,1,4
308000000,78.0,2,1,5
840000000,190.0,4,2,6
450000000,125.0,2,2,5
750000000,170.0,4,2,6
155000000,60.0,2,1,3
250000000,60.0,1,1,5
680000000,135.0,4,2,6
150000000,72.0,1,1,5
240000000,61.0,2,1,5
860000000,147.0,4,2,6
330000000,70.0,2,1,5
450000000,125.0,3,2,5
890000000,191.0,5,2,6
115000000,43.0,1,0,3
370000000,110.0,4,2,5
165000000,60.0,1,1,4
620000000,130.0,4,2,6
165000000,57.0,2,0,4
697984000,114.0,4,2,6
760000000,200.0,2,2,6
780000000,145.0,4,1,6
179000000,57.0,2,1,4
350000000,98.0,2,1,5
205000000,62.0,2,0,4
230000000,60.0,2,1,4
850000000,217.0,6,4,6
335000000,75.0,2,1,5
330000000,90.0,2,2,4
175000000,120.0,1,0,3
550000000,250.0,2,2,5
200000000,87.0,1,4,3
225000000,65.0,2,0,3
98000000,160.0,1,1,2
165000000,180.0,3,0,2
220000000,138.0,3,0,3
598000000,247.0,4,1,5
350000000,260.0,3,1,3
425000000,130.0,6,1,4
235000000,84.0,1,1,3
190000000,90.0,3,1,3
380000000,220.0,2,0,0
450000000,221.9,3,1,3
500000000,130.0,4,1,3
285000000,180.0,3,1,4
340000000,100.0,4,1,3
290000000,140.0,3,0,2
400000000,170.0,3,2,3
320000000,76.0,3,1,4
370000000,160.0,2,2,4
160000000,90.0,1,0,3
260000000,97.0,3,1,5
350000000,92.0,3,2,5
495000000,200.0,3,2,5
150000000,60.0,1,0,4
480000000,194.0,2,2,4
310000000,150.0,1,0,3
400000000,240.0,5,0,2
230000000,170.0,2,1,3
430000000,150.0,4,0,3
220000000,136.88,1,0,3
700000000,236.0,3,1,5
450000000,180.0,4,2,4
350000000,109.0,3,2,5
350000000,112.0,3,1,4
365000000,103.0,3,1,4
540000000,220.0,2,1,3
470000000,176.0,2,2,5
350000000,105.0,3,1,5
350000000,98.0,3,1,4
550000000,200.0,3,2,1
770000000,166.0,4,2,6
575000000,200.0,3,3,5
750000000,220.0,4,2,6
980000000,257.0,6,4,6
380000000,180.0,3,2,5
390000000,113.0,3,2,5
300000000,250.0,2,1,3
420000000,120.0,3,1,4
420000000,90.09,3,1,5
560000000,220.0,5,1,4
639000000,160.72,4,2,5
495000000,182.0,3,3,5
595000000,130.0,3,3,5
340000000,94.0,3,2,5
105000000,60.0,1,0,2
650000000,253.0,7,3,4
375000000,110.0,2,2,4
650000000,255.0,4,2,4
310000000,96.0,3,0,0
695000000,210.0,1,0,4
300000000,95.0,3,1,3
300000000,59.0,2,1,5
325000000,86.0,2,1,5
165000000,60.0,2,1,3
170000000,62.0,1,0,3
470000000,150.0,2,2,6
165000000,60.0,2,0,4
450000000,137.0,2,2,4
590000000,98.0,2,2,5
340000000,93.0,2,1,4
465000000,110.0,2,2,5
270000000,73.0,2,1,4
303000000,86.0,2,1,5
390000000,111.0,3,2,6
800000000,165.0,4,2,5
420000000,84.0,2,2,6
540000000,103.0,3,2,5
168000000,70.0,1,0,4
290000000,70.0,2,1,5
150000000,52.0,2,1,4
200000000,61.0,2,0,4
450000000,118.0,3,1,6
155000000,60.0,2,1,2
192000000,99.0,2,1,4
115000000,53.0,1,0,3
260000000,75.0,2,1,5
185000000,65.0,2,0,4
620000000,220.0,4,1,5
300000000,63.0,1,0,3
280000000,98.0,2,1,5
290000000,80.0,2,2,4
165000000,55.0,2,1,4
330000000,112.0,2,0,4
315000000,92.14,3,2,4
450000000,100.0,3,2,5
580000000,92.0,3,2,6
810000000,227.0,4,2,6
180000000,51.0,2,0,4
290000000,91.0,2,1,4
870000000,148.0,4,2,6
160000000,67.0,1,1,3
360000000,90.0,3,2,5
174000000,75.0,2,1,4
240000000,64.0,2,0,4
155000000,48.0,2,0,4
265000000,65.0,2,1,3
420000000,89.0,2,2,5
79000000,47.0,1,0,3
288500000,82.0,2,1,4
285000000,77.0,2,1,5
600000000,105.0,2,1,4
385000000,84.0,2,1,6
310000000,75.0,2,1,4
420000000,130.0,3,1,5
300000000,90.0,3,1,5
1000000000,166.0,5,2,6
255000000,103.0,3,1,4
270000000,110.0,2,0,4
233000000,73.0,2,1,4
190000000,60.0,1,0,4
298000000,70.0,2,1,5
460000000,92.0,3,0,5
620000000,125.0,4,2,6
170000000,53.0,2,0,3
135000000,50.0,2,0,2
530000000,159.0,3,2,5
303000000,86.0,2,1,5
495000000,243.0,4,3,5
495000000,88.0,2,2,5
230000000,70.0,2,1,4
900000000,162.0,4,2,6
375000000,100.0,3,1,4
920000000,169.0,4,2,6
750000000,165.0,4,2,6
290000000,74.0,2,1,5
106000000,57.0,1,0,3
350000000,110.0,3,1,6
720000000,202.0,5,2,6
530000000,132.0,4,3,6
1049000000,205.0,5,2,6
290000000,67.0,2,1,5
450000000,125.0,2,2,5
300000000,94.0,3,1,5
530000000,142.0,4,2,6
325000000,75.0,2,1,5
450000000,99.0,2,2,6
410000000,120.0,2,1,5
212000000,65.0,2,1,4
530000000,58.0,2,1,6
227000000,57.0,2,1,4
515000000,120.0,2,1,6
300000000,77.0,2,1,5
190000000,55.0,2,1,4
460000000,101.0,3,3,6
400000000,88.0,2,2,6
470000000,110.0,3,2,5
200000000,60.0,2,0,3
400000000,119.0,3,2,4
980000000,250.0,7,4,6
285000000,77.0,2,1,5
485000000,123.0,2,2,5
160000000,44.0,2,1,4
220000000,67.0,2,1,4
210000000,60.0,2,0,4
350000000,226.0,3,1,5
270000000,58.0,2,1,5
290000000,80.0,2,1,5
207000000,58.0,2,0,4
85000000,42.0,1,0,1
580000000,114.0,3,1,5
275000000,76.0,2,1,4
215000000,53.0,2,0,4
480000000,115.0,3,2,6
800000000,270.0,5,2,5
185000000,63.0,2,1,4
300000000,80.0,2,1,5
400000000,145.0,3,2,5
750000000,200.0,4,2,6
295000000,90.0,2,2,5
355000000,113.0,3,1,4
170000000,57.0,2,0,4
178000000,56.0,2,1,4
640000000,140.0,2,2,6
690000000,190.0,3,2,6
395000000,87.0,2,1,6
860000000,220.0,3,1,5
800000000,175.0,3,2,4
310000000,120.0,2,1,3
580000000,233.0,3,0,3
185000000,100.0,1,0,3
580000000,216.0,4,0,4
610000000,240.0,4,2,3
110000000,135.0,2,0,2
550000000,240.0,4,1,4
250000000,180.0,4,0,3
260000000,125.0,2,0,3
280000000,200.0,3,1,3
400000000,142.0,3,1,5
270000000,132.0,3,1,3
190000000,90.0,2,1,3
175000000,12.0,2,0,2
598000000,247.0,4,1,5
525000000,130.0,4,2,5
820000000,264.0,4,2,5
260000000,130.0,2,1,3
265000000,130.0,2,0,3
300000000,78.0,3,1,4
620000000,145.0,4,2,5
745000000,250.0,5,1,3
275000000,105.0,2,0,3
260000000,80.0,3,1,2
250000000,132.0,2,1,3
320000000,224.0,4,1,4
386000000,111.0,3,1,4
620000000,265.0,4,0,5
350000000,129.47,3,1,4
559000000,220.0,3,1,3
180000000,180.0,3,0,2
220000000,126.0,2,0,3
320000000,82.0,3,0,3
520000000,160.0,4,2,4
680000000,233.0,3,4,5
260000000,95.0,3,2,3
276000000,160.0,2,0,4
630000000,260.0,5,2,5
280000000,110.0,1,0,4
380000000,75.0,6,1,3
680000000,174.0,4,2,5
181233467,57.0,3,1,3
590000000,230.0,2,3,5
410000000,117.0,4,2,4
420000000,120.0,3,0,4
170000000,175.0,2,0,2
350000000,105.0,3,2,4
360000000,140.0,1,1,3
680000000,120.0,4,1,4
215000000,60.0,2,0,4
430000000,93.0,2,2,4
430000000,99.0,2,1,5
199000000,60.0,2,0,4
460000000,115.0,2,2,6
170000000,49.0,1,1,4
270000000,73.0,2,1,4
90000000,60.0,1,1,3
